Name,Type,Tone,Syllab,Jitter,Shimmer,HNR,MFCC-1,MFCC-2,MFCC-3,MFCC-4,MFCC-5,MFCC-6,MFCC-7,MFCC-8,MFCC-9,MFCC-10,MFCC-11,MFCC-12,MFCC-13
myd_a_h,my_data,h,a,0.22225248815691792,0.017837757924130376,28.2885365967439,397.1861942924718,11.816972515569866,82.48670563593464,5.034013965618787,-136.3371665705733,-64.98480898042445,28.930587184201027,59.52606269523982,-19.342776625844472,-30.467078448334824,2.3177553411100673,-0.9588868273727176,24.32704238903748
myd_a_l,my_data,l,a,0.4875689722839752,0.023036367256701797,21.677872635415014,376.7541272984337,0.07557039151124112,59.046560145252414,9.643319794842446,-99.09032609640853,-57.33206241625175,20.431163468045916,40.488348405635456,-16.864588074147555,-17.265210647298538,-12.031897504048613,-10.478866163181229,13.742681429599124
myd_a_n,my_data,n,a,0.22225248815691792,0.017837757924130376,28.2885365967439,440.72372736803544,-91.95451213404776,67.02280456245819,24.14037407129461,-110.11227675847958,-91.85379477743588,32.90799627357819,29.481053568859984,-29.290743583896777,-36.60976335486313,2.5092597291441336,-18.820858218046304,4.882775415218726
4-1_a_l,my_data,l,a,5.0586100935786495,0.10597170945348035,5.959864662804163,484.0086106202232,-70.95375700074644,67.78205295292352,21.723519855986908,-138.62392145241125,-104.65803500892359,38.66752354945804,51.19528174713014,-25.80838538400074,-39.43719106010201,6.169616929370974,-20.329848127349926,13.311079840243671
4_a_n,my_data,n,a,0.46776666056976157,0.016833619815929582,26.713612174697847,390.20770360049875,-15.94243861784735,62.20443886899992,-1.237443801256445,-118.95811533684729,-83.83567874956978,37.848873546336776,53.639154959718006,-12.732016855332224,-18.498757571267415,-0.42693966175922693,-2.7488404938145514,20.112478350451774
4_a_l,my_data,l,a,1.8247876166118453,0.053878751452693455,15.6227605073914,446.4166532189638,-46.918399280057486,79.14305714305468,20.94476554064879,-131.88509359490814,-75.73094430090599,22.405103044039677,29.169225597268756,-26.794237296351405,-26.30770700839878,-8.010734836088123,-16.882482455185038,21.62468658843076
4_a_h,my_data,h,a,0.3084287518941717,0.009654284301618583,31.818193889332747,431.1706690422162,-9.80164683811301,85.8506665410923,-17.05780280542145,-130.53030046760813,-90.83602333339083,30.028516409406887,24.21638743239509,-23.50018075110807,-19.16667071978544,-27.31594164777218,5.303610583484563,27.030151778273826
myd_u_n,my_data,n,u,0.16456268008885944,0.011109697769422928,30.354595434898684,423.81419339755496,-13.497202039250736,89.30524634358596,-0.16560735788975478,-114.91879635757762,-52.78219626774147,40.7271504397538,30.335912096881465,5.408203913589492,-35.40244519864877,-14.114924015929393,4.904923987100568,9.225550696131698
leo_a_n,my_data,l,a,0.22225248815691792,0.017837757924130376,28.2885365967439,442.11832808947725,-32.795045050745706,80.53224626156815,-11.19587292317916,-128.6013771239562,-63.41737207771575,24.589189545578172,34.276152525481166,-16.605315927637612,-44.743650386780004,-13.608117288110957,10.666677476960814,-4.651346363523397
leo_a_l,my_data,l,a,0.4875689722839752,0.023036367256701797,21.677872635415014,450.20530004053046,-14.997366640061461,99.30223734198431,-18.436705351493817,-124.49289616654981,-84.31498950530475,20.74208104552949,45.82195897113597,-10.955466564191147,-32.67255925323741,-13.980890826898126,-0.9271291639866277,21.939996070818367
myd_u_l,my_data,l,u,0.27902121738697033,0.013981411568834486,28.07921745603998,421.1653965796336,-25.646843699297076,101.04256083504845,-20.463965487373613,-123.78843715269794,-75.41582589747169,41.596960970231656,55.22846350555358,-9.575909597291457,-23.31719849681584,13.657274822747427,5.04719851070628,16.948304465973177
myd_u_h,my_data,h,u,0.16456268008885944,0.011109697769422928,30.354595434898684,453.737093575414,-58.60849854021957,96.90988775958297,-24.18997216194688,-157.97207556432255,-63.41061892358171,43.20875769167384,48.685501779471814,-32.97167726294961,-18.527120549142992,3.7115573375592366,-3.073711699608621,-5.290061282240687
myd_i_h,my_data,h,i,0.16456268008885944,0.011109697769422928,30.354595434898684,460.04059978990017,-59.61641633653488,77.34584149177546,-51.24083511950016,-118.85393844867974,-58.872205725671805,52.348348304933985,39.90466331383577,-26.156722432136164,-32.030688097482084,18.94435561097493,-27.264283625331508,-2.522049970701466
myd_i_l,my_data,l,i,0.27902121738697033,0.013981411568834486,28.07921745603998,455.15908855488544,-54.85492655125531,74.80523874192947,-32.49789555938142,-126.01885107203145,-55.70052117721507,36.071449270842486,56.77774607880552,-22.24638184918419,-1.4869664663186093,-1.0091279621013278,5.318434975063594,-12.727333235313328
myd_i_n,my_data,n,i,0.16456268008885944,0.011109697769422928,30.354595434898684,461.2713045880288,-58.00708975541394,79.11334035740919,-37.11941610161686,-126.60547871647135,-66.2054711013577,30.078657855764796,55.951745504819996,-7.6504983151926425,-17.933520361868602,-0.26216888654604986,2.824531959665114,-11.670918166295184
